,Kenmore Square,Charles MGH,Roxbury Crossing,Stony Brook,World Trade Center,Ashmont,JFK/U Mass,Airport,Community College,Park Street,Haymarket,Harvard,Boylston,Forest Hills,Green Street,Shawmut,South Station,State Street,Fields Corner,Copley Square
Haymarket,23852.37338223172,16916.347186921023,14499.610460276699,7008.810960735084,27712.72659776916,16299.394594273987,13619.568471584415,17311.349379478543,18235.294581929305,9247.334206267373,0.0,18934.41022930285,707.7200707371295,17598.88343463273,8582.955572974532,19651.192885008208,11312.523287445572,5575.619260053027,6529.200403038312,15719.042100746297
Harvard,175692.3646264496,26223.279121082247,91652.03181241173,48751.97645763078,45908.63836646783,76469.72932841543,42735.822917571844,43492.69331424232,36424.318283353656,7110.363870549116,18934.41022930285,0.0,2845.1896743711236,125870.98269155383,60257.66402412768,51261.278478521745,11952.159265590442,2976.2683596185843,26830.286536157746,45191.144233826395
Boylston,7871.945157876646,1283.9571024631084,3522.9383369900906,1278.8234285839367,1568.6585445981627,2052.9534738828524,1508.2496448924244,1124.8741053204024,1090.4036793424316,328.25475690025445,707.7200707371295,2845.1896743711236,0.0,2751.4054732143504,1452.3560710702889,3939.5160640686536,496.59900248095016,121.1857791527385,805.4992905948405,5729.211359054145
Forest Hills,145481.16655004732,22139.58798484376,155674.21287849353,185359.1304923702,53974.71472658591,191231.67841017866,70695.96162906763,47838.57929888155,26467.315182020695,6892.842402134854,17598.88343463273,125870.98269155383,2751.4054732143504,0.0,418135.8334707361,60437.741011505386,13000.626522852652,2972.6255336778854,57485.18983995828,46536.08228652028
Green Street,78317.52847525477,11032.998840985498,96969.74501794254,196036.67928104466,25875.65916883874,83364.10750251067,34290.08217159891,22145.903171174632,12886.3883873989,3411.8920786952967,8582.955572974532,60257.66402412768,1452.3560710702889,418135.8334707361,0.0,31309.09505274836,6377.221531920166,1456.7805331942177,26720.482963250946,24162.835049340185
Shawmut,94483.5567257663,28898.393028312654,65040.03896319994,26837.12685918796,49610.86701124011,53583.01563119062,48760.3509199445,30048.333570559967,23357.753729740834,10137.79363474423,19651.192885008208,51261.278478521745,3939.5160640686536,60437.741011505386,31309.09505274836,0.0,17354.39310338689,3773.7939824236964,22463.05886605258,130027.1897839139
South Station,16158.926291443715,8014.653600466376,10770.391269319387,5212.517390055938,30973.233474928344,13011.534498717605,12769.443856076496,12198.559925789163,7561.978431899204,5067.42256479951,11312.523287445572,11952.159265590442,496.59900248095016,13000.626522852652,6377.221531920166,17354.39310338689,0.0,3451.6970450321487,5454.934894135572,11726.931506442317
State Street,3940.818330863392,2493.0701188874814,2483.7034308689485,1192.5562463641916,5474.849889657878,2833.84532974441,2530.435230471232,2812.181014946594,2292.186426010225,2098.660029390986,5575.619260053027,2976.2683596185843,121.1857791527385,2972.6255336778854,1456.7805331942177,3773.7939824236964,3451.6970450321487,0.0,1157.768010390789,2823.597351782152
Fields Corner,33884.11350130287,7369.500036795428,31751.4797691201,20158.87755368889,25448.27006061682,168583.83095199848,60174.47012452297,20133.63857983615,8457.159745162067,2565.81792677716,6529.200403038312,26830.286536157746,805.4992905948405,57485.18983995828,26720.482963250946,22463.05886605258,5454.934894135572,1157.768010390789,0.0,15351.727220190262
Copley Square,93265.48225389422,28878.87366458194,52751.84798612079,20866.369252701767,33872.20557037008,38038.48379388997,30807.68847272391,22367.767571050663,21193.818470462673,8058.052224875714,15719.042100746297,45191.144233826395,5729.211359054145,46536.08228652028,24162.835049340185,130027.1897839139,11726.931506442317,2823.597351782152,15351.727220190262,0.0
